code,name,buy_date,buy_time,buy_price,sell_date,sell_time,sell_price,shares,exit_reason,buy_commission,sell_commission,stamp_tax,net_pnl,return_pct
002195.SZ,岩山科技,20250905,14:41:00,8.2121,20250908,09:31:00,8.3355,100,SELLBACK,5.0,5.0,0.83355,1.50645,0.18233257888430304
688318.SH,财富趋势,20250905,14:53:00,108.2184,20250908,09:33:00,109.4,100,SELLBACK,5.0,5.0,10.94,97.22,0.8979536041910658
300548.SZ,长芯博创,20250905,14:54:00,123.3717,20250908,10:00:00,118.5107,100,FORCE_1000,5.0,5.0,11.85107,-507.95107,-4.115573436437839
002131.SZ,利欧股份,20250905,14:55:00,5.3436,20250908,09:31:00,5.4069,100,SELLBACK,5.0,5.0,0.54069,-4.21069,-0.7806826609314742
688498.SH,源杰科技,20250908,09:35:00,233.9169,20250909,10:00:00,227.7619,100,FORCE_1000,5.847923,5.694047,22.77619,-649.81816,-2.7772929021523636
300724.SZ,捷佳伟创,20250908,09:36:00,102.8914,20250909,10:00:00,97.3113,100,FORCE_1000,5.0,5.0,9.73113,-577.74113,-5.612330218940095
300620.SZ,光库科技,20250908,09:37:00,97.3486,20250909,10:00:00,89.5752,100,FORCE_1000,5.0,5.0,8.95752,-796.29752,-8.175656734285708
601869.SH,长飞光纤,20250908,09:37:00,83.5868,20250909,09:52:00,84.9574,100,SELLBACK,5.0,5.0,8.49574,118.56426,1.4176087559543167
688313.SH,仕佳光子,20250908,09:37:00,73.2366,20250909,09:50:00,74.1486,100,SELLBACK,5.0,5.0,7.41486,73.78514,1.006802607843726
000831.SZ,中国稀土,20250908,09:44:00,52.9275,20250909,10:00:00,51.905,100,FORCE_1000,5.0,5.0,5.1905,-117.4405,-2.2167995847293662
688629.SH,华丰科技,20250908,09:45:00,79.9891,20250909,10:00:00,78.5407,100,FORCE_1000,5.0,5.0,7.85407,-162.69407,-2.0326824014762788
002281.SZ,光迅科技,20250908,10:24:00,59.889,20250909,10:00:00,60.05,100,FORCE_1000,5.0,5.0,6.005,0.095,0.0015849446937720015
002195.SZ,岩山科技,20250909,09:56:00,8.026,20250910,10:00:00,7.8741,100,FORCE_1000,5.0,5.0,0.78741,-25.97741,-3.2166183754333826
688709.SH,成都华微,20250909,09:57:00,48.8754,20250910,10:00:00,46.8176,100,FORCE_1000,5.0,5.0,4.68176,-220.46176,-4.5060798685345445
600601.SH,方正科技,20250909,10:41:00,8.8308,20250910,10:00:00,8.7056,100,FORCE_1000,5.0,5.0,0.87056,-23.39056,-2.6338347896585894
688343.SH,云天励飞-U,20250909,10:58:00,82.3373,20250910,09:55:00,83.255,100,SELLBACK,5.0,5.0,8.3255,73.4445,0.8914541440246252
688629.SH,华丰科技,20250909,13:01:00,78.069,20250910,09:31:00,79.4906,100,SELLBACK,5.0,5.0,7.94906,124.21094,1.5900221457007895
000831.SZ,中国稀土,20250909,13:43:00,52.2433,20250910,09:34:00,52.8916,100,SELLBACK,5.0,5.0,5.28916,49.54084,0.9473649587996933
688411.SH,海博思创,20250910,09:35:00,166.3831,20250911,10:00:00,167.6661,100,FORCE_1000,5.0,5.0,16.76661,101.53339,0.6100552714574204
688498.SH,源杰科技,20250910,09:37:00,224.9469,20250911,09:31:00,239.6401,100,SELLBACK,5.623672,5.991002,23.96401,1433.741315,6.372094788848772
601869.SH,长飞光纤,20250910,09:40:00,86.078,20250911,09:31:00,88.572,100,SELLBACK,5.0,5.0,8.8572,230.5428,2.676746238157161
300972.SZ,万辰集团,20250910,09:52:00,179.9127,20250911,10:00:00,168.6384,100,FORCE_1000,5.0,5.0,16.86384,-1154.29384,-6.414072693952691
300724.SZ,捷佳伟创,20250910,10:22:00,93.1249,20250911,09:55:00,94.8575,100,SELLBACK,5.0,5.0,9.48575,153.77425,1.6503827747601552
300751.SZ,迈为股份,20250910,10:22:00,89.5347,20250911,10:00:00,89.7451,100,FORCE_1000,5.0,5.0,8.97451,2.06549,0.02305628081580895
002195.SZ,岩山科技,20250910,10:48:00,7.7919,20250911,09:31:00,7.986,100,SELLBACK,5.0,5.0,0.7986,8.6114,1.098126729491577
688235.SH,百济神州,20250911,09:35:00,280.3401,20250912,09:31:00,312.5406,100,SELLBACK,7.008503,7.813515,31.25406,3173.973922,11.319039362700124
688331.SH,荣昌生物,20250911,09:35:00,94.017,20250912,09:31:00,112.8306,100,SELLBACK,5.0,5.0,11.28306,1860.07694,19.77395834883647
600021.SH,上海电力,20250911,09:36:00,19.4997,20250912,09:31:00,22.0369,100,SELLBACK,5.0,5.0,2.20369,241.51631,12.353965022481162
688709.SH,成都华微,20250911,13:18:00,49.3056,20250912,09:40:00,50.1756,100,SELLBACK,5.0,5.0,5.01756,71.98244,1.4584452422825376
300724.SZ,捷佳伟创,20250911,13:24:00,97.7889,20250912,10:00:00,97.6112,100,FORCE_1000,5.0,5.0,9.76112,-37.53112,-0.3836012056554193
601212.SH,白银有色,20250912,09:40:00,3.7119,20250915,09:31:00,3.7943,100,SELLBACK,5.0,5.0,0.37943,-2.13943,-0.5687099603923549
300207.SZ,欣旺达,20250912,10:22:00,28.0341,20250915,09:31:00,30.1248,100,SELLBACK,5.0,5.0,3.01248,196.05752,6.98108609497901
300751.SZ,迈为股份,20250912,11:04:00,89.0945,20250915,09:31:00,92.581,100,SELLBACK,5.0,5.0,9.2581,329.3919,3.6950333447380386
